N,
0.0450295,0.0575958
0.0439823,0.0596902
0.0439823,0.0764454
0.0460767,0.0785398
0.0513127,0.0785398
0.0607375,0.074351
0.0628319,0.0722566
0.0628319,0.0701622
0.0712094,0.0607374
0.0858702,0.0544542
0.0932006,0.0460766
0.0984366,0.0439822
0.0994838,0.0387464
0.102625,0.0345576
0.114145,0.0293216
0.118333,0.0230384
0.127758,0.0240856
0.128805,0.0251328
0.128805,0.0272272
0.125664,0.0303688
0.111003,0.036652
0.101578,0.0471238
0.0994838,0.0471238
0.0963422,0.0502654
0.095295,0.0544542
0.0932006,0.0565486
0.079587,0.0628318
0.0753982,0.0670206
0.0753982,0.069115
0.0733038,0.0733038
0.0712094,0.0753982
0.0649262,0.0774926
0.0607375,0.0806342
0.0544543,0.0806342
0.0513127,0.0837758
0.0513127,0.0858702
0.0523599,0.0869174
0.0460767,0.0984366
0.0439823,0.100531
0.0439823,0.111003
0.0481711,0.1141446
0.0628319,0.1151918
0.0701622,0.1078614
0.0712094,0.1047198
0.074351,0.1015782
0.100531,0.100531
0.109956,0.090059
0.118333,0.090059
0.122522,0.095295
0.137183,0.095295
0.143466,0.0879646
0.143466,0.0837758
0.144513,0.0827286
0.144513,0.0785398
0.141372,0.0733038
0.141372,0.0712094
0.13823,0.0680678
0.13823,0.0628318
0.139277,0.0617846
0.139277,0.0544542
0.142419,0.0523598
0.147655,0.0555014
0.147655,0.0680678
0.149749,0.0733038
0.149749,0.0774926
0.148702,0.0785398
0.148702,0.0890118
0.154985,0.0942478
0.178024,0.0921534
0.179071,0.0942478
0.176976,0.0973894
0.176976,0.1036726
0.18326,0.1078614
0.19059,0.1151918
0.195826,0.116239
0.202109,0.1235694
0.206298,0.1235694
0.211534,0.1193806
0.21677,0.1183334
0.218864,0.1204278
0.223053,0.1204278
0.2241,0.121475
0.223053,0.1225222
0.223053,0.1246166
0.226195,0.1277582
0.245044,0.1288052
0.247139,0.1308996
0.261799,0.1288052
0.270177,0.1225222
0.270177,0.1193806
0.268083,0.1172862
0.268083,0.1089086
0.272271,0.1036726
0.274366,0.1068142
0.274366,0.1089086
0.281696,0.1151918
0.284838,0.1141446
0.284838,0.1036726
0.286932,0.1026254
0.289027,0.1047198
0.289027,0.1277582
0.292168,0.1308996
0.300546,0.1308996
0.308923,0.1277582
0.313112,0.1235694
0.313112,0.1151918
0.314159,0.1141446
0.325678,0.1172862
0.351858,0.1172862
0.356047,0.1120502
0.356047,0.1089086
0.357094,0.1078614
0.357094,0.0994838
0.361283,0.0942478
0.367566,0.0827286
0.372802,0.0858702
0.372802,0.0911062
0.369661,0.0963422
0.369661,0.100531
0.368614,0.1026254
0.36233,0.1089086
0.36233,0.1130974
0.363378,0.1141446
0.363378,0.116239
0.365472,0.1183334
0.391652,0.1172862
0.395841,0.1193806
0.417832,0.1183334
0.424115,0.1099558
0.424115,0.1078614
0.425162,0.1068142
0.425162,0.1026254
0.43354,0.0963422
0.434587,0.0942478
0.434587,0.0837758
0.438776,0.0806342
0.452389,0.0816814
0.450295,0.084823
0.450295,0.0879646
0.461814,0.0942478
0.462861,0.0963422
0.462861,0.1078614
0.470192,0.1141446
0.492183,0.1151918
0.494277,0.1130974
0.494277,0.0942478
0.495324,0.0932006
0.515221,0.1141446
0.522552,0.1151918
0.523599,0.1141446
0.523599,0.111003
0.525693,0.1089086
0.550826,0.0994838
0.559203,0.0911062
0.559203,0.0890118
0.561298,0.0869174
0.561298,0.0827286
0.560251,0.0816814
0.559203,0.0753982
0.557109,0.0722566
0.557109,0.0492182
0.558156,0.048171
0.573864,0.0628318
0.577006,0.0680678
0.577006,0.0712094
0.578053,0.0722566
0.578053,0.0753982
0.5791,0.0774926
0.584336,0.0827286
0.588525,0.0827286
0.589572,0.0816814
0.589572,0.074351
0.594808,0.063879
0.594808,0.0596902
0.596903,0.0565486
0.596903,0.0544542
0.598997,0.0523598
0.60528,0.0513126
0.610516,0.0460766
0.614705,0.0450294
0.620988,0.0356048
0.628319,0.0303688
0.629366,0.031416
0.629366,0.0335104
0.627271,0.036652
0.613658,0.0502654
0.610516,0.0502654
0.606327,0.0565486
0.606327,0.0680678
0.607375,0.069115
0.607375,0.0733038
0.608422,0.074351
0.608422,0.0764454
0.615752,0.0827286
0.630413,0.0816814
0.640885,0.0722566
0.66497,0.069115
0.67649,0.0617846
0.684867,0.0628318
0.692198,0.0670206
0.698481,0.074351
0.700575,0.079587
0.706858,0.0858702
0.711047,0.0879646
0.723614,0.0869174
0.730944,0.095295
0.745605,0.0994838
0.747699,0.1015782
0.76969,0.1015782
0.777021,0.1089086
0.789587,0.1089086
0.794823,0.1068142
0.804248,0.0973894
0.804248,0.095295
0.805295,0.0942478
0.805295,0.090059
0.807389,0.0879646
0.808437,0.0827286
0.811578,0.0774926
0.811578,0.0712094
0.810531,0.0701622
0.810531,0.0649262
0.801106,0.0596902
0.799012,0.0513126
0.794823,0.048171
0.782257,0.0471238
0.774926,0.0523598
0.764454,0.0523598
0.759218,0.0492182
0.770737,0.048171
0.775973,0.0450294
0.775973,0.041888
0.76969,0.0376992
0.76969,0.031416
0.768643,0.0303688
0.768643,0.0282744
0.766549,0.02618
0.766549,0.01989676
0.768643,0.01780236
0.775973,0.020944
0.778068,0.0230384
0.778068,0.02618
0.779115,0.0272272
0.78854,0.0272272
0.792729,0.0230384
0.793776,0.01884956
0.799012,0.01361356
0.799012,0.01047198
0.801106,0.00837758
0.806342,0.01151918
0.806342,0.01675516
0.801106,0.0219912
0.801106,0.0240856
0.79587,0.031416
0.79587,0.0345576
0.801106,0.0356048
0.807389,0.0324632
0.81472,0.0251328
0.81472,0.01989676
0.819956,0.01570796
0.831475,0.01675516
0.832522,0.01780236
0.832522,0.01989676
0.82938,0.020944
0.825192,0.0251328
0.825192,0.0356048
0.823097,0.0376992
0.823097,0.0397936
0.821003,0.0439822
0.821003,0.0513126
0.826239,0.0555014
0.832522,0.0555014
0.835664,0.0523598
0.845088,0.053407
0.846136,0.0544542
0.846136,0.0575958
0.839852,0.0649262
0.825192,0.0649262
0.819956,0.0670206
0.816814,0.0701622
0.816814,0.0753982
0.81472,0.079587
0.81472,0.0858702
0.811578,0.0879646
0.810531,0.0932006
0.807389,0.0984366
0.807389,0.100531
0.784351,0.1183334
0.784351,0.121475
0.781209,0.1277582
0.781209,0.1319468
0.783304,0.1340412
0.783304,0.1392772
0.779115,0.1455604
0.771785,0.1528908
0.771785,0.1623156
0.773879,0.1665044
0.773879,0.1717404
0.782257,0.1790708
0.794823,0.1790708
0.799012,0.174882
0.799012,0.1727876
0.800059,0.1717404
0.802153,0.1717404
0.812625,0.1612684
0.812625,0.1570796
0.81472,0.1549852
0.821003,0.1507964
0.825192,0.1497492
0.833569,0.1424188
0.836711,0.1424188
0.854513,0.159174
0.856608,0.1623156
0.856608,0.1654572
0.857655,0.1665044
0.857655,0.1706932
0.859749,0.174882
0.86708,0.1832596
0.873363,0.1937316
0.880693,0.201062
0.884882,0.207346
0.884882,0.210486
0.886976,0.213628
0.892212,0.218864
0.904779,0.218864
0.90792,0.217818
0.910015,0.215722
0.910015,0.213628
0.906873,0.20944
0.906873,0.207346
0.904779,0.204204
0.904779,0.1916372
0.902684,0.1874484
0.902684,0.1822124
0.90059,0.1769764
0.90059,0.169646
0.898495,0.1654572
0.898495,0.1623156
0.896401,0.159174
0.896401,0.1560324
0.891165,0.1455604
0.889071,0.143466
0.889071,0.1413716
0.886976,0.1371828
0.886976,0.1204278
0.885929,0.1193806
0.885929,0.1141446
0.88174,0.1089086
0.879646,0.1036726
0.879646,0.0869174
0.878599,0.0858702
0.878599,0.0764454
0.879646,0.0753982
0.880693,0.069115
0.891165,0.0565486
0.904779,0.053407
0.911062,0.053407
0.913156,0.0555014
0.908967,0.0596902
0.90059,0.0628318
0.895354,0.0680678
0.895354,0.0701622
0.89326,0.0722566
0.89326,0.0764454
0.891165,0.0785398
0.891165,0.0858702
0.894307,0.0890118
0.896401,0.0890118
0.905826,0.0816814
0.911062,0.0806342
0.919439,0.090059
0.919439,0.0942478
0.918392,0.095295
0.918392,0.0984366
0.916298,0.100531
0.916298,0.1036726
0.929911,0.1141446
0.940383,0.116239
0.951903,0.1225222
0.968658,0.121475
0.973894,0.1183334
0.983319,0.1089086
0.983319,0.105767
0.982271,0.1047198
0.982271,0.100531
0.983319,0.0994838
0.982271,0.0984366
0.982271,0.0942478
0.983319,0.0932006
0.983319,0.0858702
0.978083,0.0816814
0.978083,0.079587
0.977035,0.0785398
0.977035,0.074351
0.974941,0.0722566
0.974941,0.0649262
0.97913,0.0575958
0.983319,0.058643
0.985413,0.0607374
0.994838,0.0617846
1.00322,0.0680678
1.00531,0.0680678
1.01159,0.0722566
1.01473,0.0722566
1.01788,0.0753982
1.02311,0.0764454
1.02416,0.0785398
1.02206,0.0806342
1.01578,0.079587
1.00636,0.074351
0.996932,0.074351
0.992743,0.0764454
0.989602,0.079587
0.989602,0.0816814
0.988554,0.0827286
0.988554,0.0869174
0.987507,0.0879646
0.987507,0.0973894
0.98646,0.0984366
0.98646,0.1068142
0.990649,0.1120502
0.990649,0.1151918
0.992743,0.1172862
0.990649,0.1193806
0.990649,0.121475
0.992743,0.1235694
1.00007,0.1256638
1.0095,0.1340412
1.02625,0.1340412
1.03358,0.132994
1.03987,0.1298524
1.04196,0.126711
1.04196,0.1235694
1.04301,0.1225222
1.04301,0.1193806
1.04406,0.1172862
1.05243,0.111003
1.05243,0.1078614
1.05034,0.105767
1.03987,0.1036726
1.04196,0.0984366
1.04406,0.0963422
1.05348,0.0921534
1.065,0.0921534
1.07128,0.0858702
1.07128,0.0806342
1.07233,0.079587
1.09537,0.074351
1.10165,0.0712094
1.1027,0.0701622
1.1027,0.0649262
1.10479,0.0628318
1.10479,0.0596902
1.11212,0.053407
1.11212,0.0450294
1.11108,0.0439822
1.1027,0.042935
1.09642,0.036652
1.09642,0.0345576
1.09537,0.0335104
1.0849,0.0272272
1.0849,0.0251328
1.08071,0.01989676
1.08071,0.01570796
1.07966,0.01466076
1.07652,0.01256638
1.07233,0.01256638
1.06186,0.00523598
1.06186,0.0031416
1.06709,-0.001047198
1.06709,-0.00837758
1.065,-0.01047198
1.05872,-0.01047198
1.05243,-0.00837758
1.03463,-0.00837758
1.02835,-0.01151918
1.03358,-0.01780236
1.03358,-0.01989676
1.03254,-0.020944
1.02835,-0.020944
1.02521,-0.0230384
1.01578,-0.0251328
1.01369,-0.0272272
1.01369,-0.0324632
1.01683,-0.0387464
1.02416,-0.036652
1.03882,-0.0376992
1.03882,-0.0397936
1.04091,-0.042935
1.04091,-0.048171
1.03882,-0.0502654
1.03463,-0.053407
1.02311,-0.053407
1.01892,-0.0565486
1.02311,-0.0628318
1.03673,-0.0649262
1.0451,-0.0596902
1.06186,-0.058643
1.07128,-0.0513126
1.08385,-0.048171
1.09537,-0.041888
1.09327,-0.0387464
1.09327,-0.0230384
1.0849,-0.01675516
1.07757,-0.01466076
1.07338,-0.01047198
1.07128,-0.00628318
1.07128,0.0020944
1.07338,0.0041888
1.08176,0.0041888
1.08909,0.00942478
1.08909,0.0240856
1.09013,0.02618
1.1006,0.0324632
1.10689,0.0397936
1.11003,0.0397936
1.11631,0.0439822
1.12469,0.0439822
1.13202,0.0376992
1.13202,0.0335104
1.12783,0.0282744
1.12469,0.0282744
1.11212,0.0230384
1.12364,0.01989676
1.12364,0.01780236
1.1205,0.01570796
1.1205,0.01361356
1.12364,0.00942478
1.12574,0.01047198
1.12574,0.01570796
1.12678,0.01675516
1.13516,0.01675516
1.1404,0.01989676
1.16029,0.01989676
1.16763,0.01570796
1.17077,0.01884956
1.16972,0.020944
1.16344,0.0251328
1.1582,0.0240856
1.15506,0.0282744
1.14773,0.0324632
1.14773,0.0376992
1.16239,0.0387464
1.16239,0.036652
1.16344,0.0356048
1.17077,0.0439822
1.17286,0.0439822
1.18124,0.0523598
1.18438,0.053407
1.18647,0.0555014
1.18647,0.0575958
1.19904,0.058643
1.20009,0.0575958
1.20009,0.0555014
1.19904,0.0544542
1.19171,0.0523598
1.18438,0.0439822
1.18229,0.0439822
1.16553,0.031416
1.16867,0.0293216
1.1781,0.0356048
1.18647,0.0356048
1.18647,0.0335104
1.18752,0.0324632
1.17914,0.0251328
1.17914,0.0230384
1.18124,0.020944
1.18438,0.0230384
1.18857,0.0230384
1.19276,0.0272272
1.19485,0.02618
1.20009,0.0324632
1.20009,0.0345576
1.20742,0.0387464
1.21056,0.0387464
1.2137,0.036652
1.2137,0.0335104
1.21056,0.0282744
1.21056,0.02618
1.20532,0.0251328
1.19485,0.01884956
1.18333,0.00628318
1.18333,0.0020944
1.18229,0.001047198
1.18333,0
1.19066,0.001047198
1.19276,0.0041888
1.19276,0.00942478
1.20218,0.01570796
1.21265,0.01570796
1.21475,0.00733038
1.22313,-0.001047198
1.22732,0.001047198
1.24826,0.001047198
1.25245,-0.0031416
1.25454,-0.0031416
1.25873,0.0020944
1.26292,0.0041888
1.26187,0.01151918
1.26083,0.01256638
1.2514,0.01361356
1.24407,0.01047198
1.24093,0.00628318
1.22732,0.00628318
1.22208,0.01151918
1.22208,0.01570796
1.22313,0.01675516
1.22313,0.0219912
1.23569,0.0376992
1.23569,0.0397936
1.23883,0.041888
1.25035,0.041888
1.25768,0.0356048
1.26397,0.0335104
1.26501,0.0345576
1.26501,0.036652
1.25873,0.0439822
1.25245,0.0439822
1.25035,0.0492182
1.24512,0.0523598
1.24302,0.0523598
1.23883,0.048171
1.22836,0.048171
1.22417,0.0513126
1.22313,0.0544542
1.22103,0.0565486
1.21894,0.0565486
1.20951,0.0628318
1.20951,0.0680678
1.22732,0.0733038
1.23255,0.0733038
1.2336,0.0753982
1.24302,0.0816814
1.24721,0.0816814
1.24721,0.079587
1.24512,0.0774926
1.24617,0.0764454
1.25035,0.0764454
1.25454,0.079587
1.25873,0.079587
1.26711,0.074351
1.27444,0.0670206
1.27653,0.0670206
1.28177,0.0722566
1.28386,0.0753982
1.28386,0.0774926
1.29119,0.0785398
1.29119,0.0753982
1.28805,0.0733038
1.28805,0.0712094
1.28491,0.0680678
1.28491,0.0649262
1.28386,0.063879
1.28805,0.0596902
1.29957,0.0628318
1.31633,0.0722566
1.31633,0.0764454
1.31528,0.0774926
1.30795,0.0774926
1.30481,0.0753982
1.29957,0.0764454
1.29957,0.0806342
1.30376,0.0827286
1.309,0.0879646
1.30795,0.0890118
1.29748,0.0879646
1.29119,0.084823
1.26501,0.084823
1.26187,0.0911062
1.25559,0.0963422
1.24617,0.0963422
1.24302,0.0932006
1.23569,0.090059
1.22522,0.0764454
1.20428,0.0753982
1.20323,0.074351
1.20428,0.0733038
1.20323,0.0670206
1.20114,0.063879
1.18962,0.0628318
1.18019,0.0565486
1.1781,0.0565486
1.17496,0.0523598
1.16867,0.0523598
1.16029,0.048171
1.13307,0.048171
1.12888,0.0502654
1.11841,0.0502654
1.11108,0.0596902
1.11108,0.0670206
1.09537,0.0837758
1.09118,0.0858702
1.07861,0.0858702
1.07652,0.0879646
1.07652,0.0963422
1.07128,0.1015782
1.07128,0.1141446
1.07547,0.121475
1.07547,0.126711
1.08176,0.1340412
1.08385,0.1371828
1.08385,0.1392772
1.08804,0.1445132
1.08804,0.1497492
1.0828,0.1581268
1.0828,0.16441
1.08071,0.1675516
1.08071,0.1864012
1.08385,0.1895428
1.11422,0.1884956
1.12469,0.1769764
1.12469,0.1738348
1.12678,0.1706932
1.13097,0.1706932
1.14773,0.1612684
1.14878,0.159174
1.14878,0.153938
1.15192,0.148702
1.16029,0.1392772
1.16344,0.13823
1.16448,0.1392772
1.16344,0.1403244
1.16344,0.1455604
1.16553,0.1476548
1.17286,0.148702
1.18019,0.1528908
1.20114,0.153938
1.20637,0.1497492
1.22627,0.1497492
1.22732,0.1507964
1.21684,0.1602212
1.19485,0.16441
1.18333,0.1759292
1.18333,0.1780236
1.18647,0.180118
1.18752,0.1843068
1.1959,0.1926844
1.20847,0.1916372
1.2137,0.1926844
1.21999,0.1979204
1.22208,0.203156
1.23046,0.20525
1.23988,0.215722
1.24512,0.218864
1.25873,0.217818
1.2692,0.207346
1.27235,0.206298
1.27653,0.20211
1.27653,0.195826
1.27863,0.1926844
1.27863,0.1790708
1.27653,0.1769764
1.27653,0.1727876
1.28596,0.1717404
1.2891,0.1759292
1.2891,0.1811652
1.29224,0.1843068
1.29852,0.185354
1.29852,0.1947788
1.29224,0.200014
1.29015,0.200014
1.28701,0.203156
1.28596,0.206298
1.27339,0.218864
1.27339,0.223054
1.27444,0.2241
1.28072,0.2241
1.29329,0.218864
1.30586,0.217818
1.31004,0.213628
1.31004,0.211534
1.31109,0.210486
1.31109,0.206298
1.31214,0.20525
1.31214,0.201062
1.31423,0.1989676
1.31947,0.195826
1.34041,0.1916372
1.34251,0.1895428
1.34251,0.1874484
1.34355,0.1864012
1.34355,0.1843068
1.34565,0.1822124
1.34565,0.180118
1.34879,0.1769764
1.35088,0.1769764
1.35507,0.1738348
1.37288,0.174882
1.3823,0.1706932
1.3844,0.1685988
1.3844,0.1665044
1.38021,0.1633628
1.38021,0.1612684
1.38125,0.1602212
1.38125,0.1507964
1.37497,0.1466076
1.36973,0.1455604
1.37392,0.1424188
1.37811,0.1424188
1.38125,0.1392772
1.38125,0.1361356
1.37811,0.132994
1.38754,0.1277582
1.40429,0.1246166
1.41162,0.116239
1.42209,0.1130974
1.42419,0.1151918
1.42419,0.1193806
1.42314,0.1204278
1.41267,0.1225222
1.40743,0.1277582
1.4022,0.1298524
1.39591,0.1361356
1.39591,0.1424188
1.39696,0.143466
1.40324,0.143466
1.41162,0.1507964
1.41581,0.1507964
1.42314,0.1466076
1.43047,0.153938
1.43885,0.1570796
1.4577,0.1570796
1.46398,0.1507964
1.47236,0.1518436
1.4755,0.153938
1.47655,0.1560324
1.47655,0.159174
1.48388,0.1633628
1.49226,0.1654572
1.51006,0.16441
1.52681,0.1654572
1.54043,0.1780236
1.54462,0.1790708
1.54985,0.1832596
1.55299,0.1832596
1.55614,0.180118
1.56765,0.180118
1.57603,0.1864012
1.58965,0.1864012
1.59698,0.1884956
1.60221,0.1926844
1.61792,0.1926844
1.62106,0.1895428
1.62106,0.1874484
1.62001,0.1864012
1.62001,0.1822124
1.60954,0.174882
1.60431,0.1685988
1.60221,0.16441
1.60221,0.1581268
1.59802,0.1518436
1.59802,0.13823
1.59698,0.1371828
1.59802,0.1193806
1.59593,0.1151918
1.59279,0.1120502
1.59279,0.1089086
1.59383,0.1078614
1.6064,0.1183334
1.6064,0.1350884
1.60745,0.1361356
1.60745,0.143466
1.60954,0.1466076
1.60954,0.148702
1.61059,0.1497492
1.61059,0.1549852
1.61478,0.1623156
1.61583,0.1685988
1.6242,0.174882
1.63677,0.1759292
1.64515,0.1822124
1.66295,0.1822124
1.67866,0.1717404
1.67761,0.1602212
1.6797,0.1549852
1.6797,0.1403244
1.67866,0.1392772
1.67866,0.1350884
1.67761,0.1340412
1.67761,0.1288052
1.69332,0.1130974
1.69332,0.1099558
1.69437,0.1078614
1.69751,0.105767
1.70379,0.1078614
1.70274,0.1099558
1.70274,0.1172862
1.70379,0.1183334
1.70379,0.1225222
1.69437,0.1340412
1.69437,0.1413716
1.69541,0.1424188
1.69541,0.1466076
1.69751,0.148702
1.69751,0.1549852
1.70065,0.1581268
1.70065,0.1602212
1.6996,0.1612684
1.6996,0.1706932
1.69751,0.1738348
1.69751,0.1864012
1.6996,0.1884956
1.70379,0.1895428
1.7174,0.19059
1.72788,0.1989676
1.72997,0.1989676
1.73625,0.206298
1.7394,0.206298
1.74673,0.1968732
1.78442,0.1968732
1.80432,0.1926844
1.82108,0.1843068
1.8326,0.1822124
1.83888,0.1780236
1.84621,0.1780236
1.8483,0.1759292
1.8483,0.1738348
1.85563,0.1685988
1.85982,0.1675516
1.886,0.1685988
1.89019,0.1633628
1.89229,0.1570796
1.89647,0.1518436
1.89647,0.1497492
1.89752,0.148702
1.89752,0.143466
1.89857,0.1424188
1.89857,0.13823
1.89962,0.1371828
1.90066,0.1308996
1.90171,0.1298524
1.90171,0.1246166
1.90485,0.121475
1.90485,0.1151918
1.90276,0.1120502
1.90276,0.0890118
1.90485,0.0879646
1.90904,0.0911062
1.90904,0.0942478
1.91428,0.105767
1.91428,0.126711
1.91009,0.1350884
1.9059,0.1392772
1.90485,0.1424188
1.90276,0.1445132
1.90171,0.148702
1.89962,0.1518436
1.89857,0.1570796
1.89647,0.1602212
1.89647,0.16441
1.90171,0.1665044
1.90904,0.1665044
1.9237,0.1602212
1.92894,0.1549852
1.92894,0.1476548
1.93103,0.143466
1.93103,0.13823
1.93417,0.1361356
1.9415,0.1424188
1.94674,0.1424188
1.95721,0.1455604
1.96559,0.1455604
1.96873,0.1476548
1.97292,0.1476548
1.9813,0.1507964
1.98339,0.1528908
1.99177,0.1518436
1.99805,0.1455604
2.01062,0.1476548
2.019,0.1549852
2.019,0.1570796
2.02423,0.16441
2.02423,0.1675516
2.02633,0.169646
2.0368,0.169646
2.04099,0.1685988
2.04518,0.16441
2.04518,0.1612684
2.04308,0.159174
2.04308,0.1560324
2.04518,0.1528908
2.04518,0.1497492
2.04727,0.1455604
2.04727,0.1424188
2.05041,0.1392772
2.05146,0.1403244
2.05146,0.1424188
2.05355,0.1445132
2.05355,0.1476548
2.05565,0.1497492
2.07031,0.153938
2.08706,0.169646
2.0944,0.169646
2.09649,0.1654572
2.10068,0.1612684
2.10173,0.1623156
2.10173,0.16441
2.10382,0.1665044
2.11534,0.1675516
2.12267,0.174882
2.14152,0.174882
2.14571,0.1717404
2.15618,0.1717404
2.15932,0.1675516
2.1677,0.1665044
2.17084,0.16441
2.18027,0.153938
2.19807,0.153938
2.20121,0.1549852
2.2054,0.159174
2.21273,0.1602212
2.21587,0.1633628
2.21796,0.1675516
2.21796,0.1769764
2.21692,0.1780236
2.21692,0.1822124
2.22006,0.185354
2.23681,0.185354
2.24624,0.1832596
2.24833,0.1811652
2.24833,0.169646
2.24729,0.1685988
2.24729,0.1633628
2.24624,0.1623156
2.24624,0.1560324
2.24729,0.1549852
2.26195,0.1549852
2.26299,0.153938
2.26299,0.1518436
2.26509,0.1497492
2.27975,0.1497492
2.28394,0.1528908
2.29441,0.1528908
2.30174,0.1497492
2.30698,0.143466
2.30802,0.1413716
2.30802,0.1350884
2.30907,0.1340412
2.3185,0.1340412
2.32373,0.1319468
2.32583,0.1288052
2.34677,0.1298524
2.35934,0.1225222
2.36352,0.1225222
2.37819,0.1308996
2.38447,0.1371828
2.39389,0.1476548
2.39913,0.159174
2.40855,0.169646
2.42426,0.1738348
2.43578,0.1864012
2.43788,0.1916372
2.43997,0.1937316
2.43997,0.195826
2.44206,0.200014
2.44206,0.204204
2.44311,0.20525
2.44311,0.211534
2.44416,0.212582
2.44416,0.220958
2.44835,0.225148
2.46196,0.225148
2.4672,0.223054
2.47034,0.219912
2.47034,0.207346
2.46929,0.206298
2.46929,0.20211
2.4651,0.1968732
2.4651,0.1916372
2.46615,0.19059
2.46929,0.1884956
2.47976,0.1884956
2.48291,0.1864012
2.49652,0.185354
2.50071,0.1822124
2.50071,0.180118
2.5028,0.1769764
2.5028,0.1665044
2.50071,0.16441
2.49128,0.159174
2.48605,0.153938
2.47243,0.1497492
2.47139,0.1455604
2.47872,0.13823
2.48081,0.13823
2.485,0.1350884
2.49233,0.1350884
2.5028,0.1424188
2.50699,0.1476548
2.51327,0.1507964
2.54993,0.1507964
2.55516,0.1445132
2.55621,0.1371828
2.5583,0.1350884
2.57715,0.1361356
2.58344,0.13823
2.58344,0.1424188
2.59077,0.1528908
2.59077,0.1581268
2.57925,0.169646
2.57925,0.1717404
2.58448,0.1769764
2.58658,0.180118
2.58658,0.1822124
2.58239,0.1864012
2.57925,0.1874484
2.57192,0.195826
2.56878,0.203156
2.56878,0.208392
2.57087,0.210486
2.57087,0.215722
2.57296,0.217818
2.57296,0.219912
2.5782,0.225148
2.596,0.225148
2.59914,0.222006
2.59914,0.1968732
2.60019,0.195826
2.60752,0.195826
2.62218,0.203156
2.62428,0.20525
2.62114,0.211534
2.62114,0.21677
2.62742,0.222006
2.63475,0.222006
2.64732,0.218864
2.6536,0.214676
2.66407,0.211534
2.66721,0.208392
2.67873,0.203156
2.68397,0.1968732
2.69234,0.19059
2.71224,0.1895428
2.72271,0.1811652
2.7269,0.180118
2.73737,0.1685988
2.73842,0.1665044
2.73842,0.1497492
2.73737,0.148702
2.73737,0.1445132
2.73633,0.143466
2.73633,0.13823
2.73528,0.1371828
2.73528,0.1308996
2.73423,0.1298524
2.73423,0.121475
2.73109,0.116239
2.73109,0.1141446
2.72586,0.1078614
2.72586,0.1047198
2.72271,0.0984366
2.72271,0.084823
2.72167,0.0837758
2.72167,0.0806342
2.72062,0.079587
2.72062,0.0753982
2.71852,0.0722566
2.71852,0.0701622
2.71434,0.0649262
2.71224,0.0607374
2.71224,0.058643
2.70701,0.0523598
2.70701,0.0502654
2.70072,0.0397936
2.70072,0.0356048
2.69968,0.0345576
2.69968,0.0293216
2.70072,0.0282744
2.70072,0.02618
2.70282,0.0240856
2.70805,0.0240856
2.71538,0.0282744
2.71643,0.0303688
2.71643,0.0335104
2.71852,0.0376992
2.71852,0.042935
2.71957,0.0439822
2.71957,0.0502654
2.72376,0.0575958
2.72376,0.0596902
2.72481,0.0607374
2.72481,0.0649262
2.73423,0.0806342
2.73423,0.0858702
2.73319,0.0869174
2.73319,0.1026254
2.73528,0.105767
2.73528,0.1089086
2.73737,0.111003
2.73737,0.1130974
2.73842,0.1141446
2.73842,0.1183334
2.74575,0.1246166
2.74994,0.1308996
2.74994,0.13823
2.75099,0.1392772
2.75099,0.1413716
2.74994,0.1424188
2.74994,0.1560324
2.74889,0.1570796
2.74889,0.1675516
2.74994,0.1685988
2.7667,0.1665044
2.77298,0.16441
2.77717,0.1602212
2.7824,0.1581268
2.8023,0.1560324
2.80649,0.153938
2.82848,0.1549852
2.84,0.159174
2.84209,0.1612684
2.84628,0.1612684
2.85885,0.1507964
2.8756,0.1507964
2.88293,0.153938
2.90388,0.153938
2.91645,0.1507964
2.94786,0.1476548
2.95624,0.1445132
2.95729,0.143466
2.95729,0.1392772
2.95833,0.13823
2.95938,0.132994
2.95624,0.1308996
2.95624,0.1277582
2.9531,0.1246166
2.9531,0.1225222
2.951,0.1204278
2.951,0.1172862
2.9531,0.1151918
2.9531,0.111003
2.94681,0.1026254
2.94681,0.100531
2.94367,0.095295
2.94367,0.090059
2.94158,0.0879646
2.93844,0.0879646
2.93215,0.084823
2.92273,0.0837758
2.91121,0.0774926
2.90807,0.0733038
2.90807,0.0712094
2.90911,0.0701622
2.91645,0.0733038
2.93215,0.0733038
2.93948,0.0701622
2.94472,0.0649262
2.94472,0.0628318
2.95205,0.0544542
2.95205,0.0502654
2.94681,0.0450294
2.94577,0.042935
2.94577,0.0376992
2.94158,0.0335104
2.94367,0.031416
2.94367,0.0282744
2.94681,0.0219912
2.94996,0.01884956
2.95205,0.01466076
2.95624,0.020944
2.95624,0.0230384
2.95833,0.02618
2.95938,0.0303688
2.96357,0.0335104
2.96671,0.0335104
2.97195,0.0282744
2.97195,0.0240856
2.96881,0.01989676
2.96881,0.01780236
2.96985,0.01675516
2.97299,0.01675516
2.9887,0.0293216
2.99917,0.0324632
2.99917,0.0523598
2.99813,0.053407
2.99813,0.0607374
2.98347,0.069115
2.9709,0.0733038
2.96252,0.0827286
2.96252,0.0932006
2.96357,0.0942478
2.96357,0.0984366
2.96671,0.1015782
2.97195,0.1026254
2.97614,0.105767
2.97404,0.111003
2.97404,0.1151918
2.9709,0.1204278
2.9709,0.1235694
2.96776,0.1256638
2.96776,0.13823
2.96671,0.1392772
2.96671,0.1413716
2.96881,0.143466
